texto,texto_limpio,texto_lematizado,cluster
"La arquitectura es genial, un patio con mesas sillas y hasta aparatos para hacer ejercicio. 2 gatos maravillosos, una biblioteca a presta hasta pc. Lo único que me da desilusión es el reglamento para entrar y cursar, ahora entiendo xq parte de la salud mental tiene grietas si sus facultades tienen mucho pero es injustificable.",la arquitectura es genial un patio con mesas sillas y hasta aparatos para hacer ejercicio gatos maravillosos una biblioteca a presta hasta pc lo único que me da desilusión es el reglamento para entrar y cursar ahora entiendo xq parte de la salud mental tiene grietas si sus facultades tienen mucho pero es injustificable,arquitectura genial patio mesa silla aparato hacer ejercicio gato maravilloso biblioteca prestar pc único dar desilusión reglamento entrar cursar ahora entender xq parte salud mental grieta si facultad injustificable,1
Más JUNG y menos FREUD,más jung y menos freud,jung menos freud,1
"Acogedora, me encanta su jardín y sus 2 gatitos.",acogedora me encanta su jardín y sus gatitos,acogedoro encanta jardín gatito,2
"Centro Universitario donde se forman los/las psicólogos/as de nuestro país. A pesar del magro presupuesto educativo, sigue siendo insuficiente.",centro universitario donde se forman los las psicólogos as de nuestro país a pesar del magro presupuesto educativo sigue siendo insuficiente,centro universitario formar psicólogo as país pesar magro presupuesto educativo seguir ser insuficiente,1
Es de las facultades más lindas. Es mi lugar favorito.,es de las facultades más lindas es mi lugar favorito,facultad lindo lugar favorito,0
"No soy estudiante de la misma, pero llama mucho la atención de acuerdo a la profesión elegida para cursar en dicho centro, la poca empatía durante todo el día bloqueando la puerta de entrada, la senda para videntes y el consumo de droga legal en la puerta del mismo.",no soy estudiante de la misma pero llama mucho la atención de acuerdo a la profesión elegida para cursar en dicho centro la poca empatía durante todo el día bloqueando la puerta de entrada la senda para videntes y el consumo de droga legal en la puerta del mismo,estudiante mismo llamar atención acuerdo profesión elegido cursar dicho centro poco empatío día bloquear puerta entrada senda vident consumo droga legal puerta mismo,1
Hermosa,hermosa,hermoso,1
"Es un edificio arquitectónico hermoso, es una carrera tan rica necesaria y más aún hoy en día. Tengo la gracia de que mi hija está cursando su primer año virtual.",es un edificio arquitectónico hermoso es una carrera tan rica necesaria y más aún hoy en día tengo la gracia de que mi hija está cursando su primer año virtual,edificio arquitectónico hermoso carrera tanto rico necesario aún hoy día gracia hijo cursar primero año virtual,0
Una bella institución por lo que implica y por lo que está sembrando.,una bella institución por lo que implica y por lo que está sembrando,bello institución implicar sembrar,0
Hermoso lugar,hermoso lugar,hermoso lugar,0
"Es una hermosa institución con una arquitectura muy rica, un patio central el cual te transporta a un lugar de mucha paz y en conexión con la naturaleza.",es una hermosa institución con una arquitectura muy rica un patio central el cual te transporta a un lugar de mucha paz y en conexión con la naturaleza,hermoso institución arquitectura rico patio central transporta lugar mucho paz conexión naturaleza,2
"Muy linda restauración de ya hace un buen tiempo, muy modernas instalaciones que aunque están identificados los sectores uno se pierde en ella, ojalá se mantenga por mucho tiempo así cuidada por usuarios y autoridades, como me gustaría ser estudiante nuevamente, lindas instalaciones. Han agregado ejercitadores y un área nueva.",muy linda restauración de ya hace un buen tiempo muy modernas instalaciones que aunque están identificados los sectores uno se pierde en ella ojalá se mantenga por mucho tiempo así cuidada por usuarios y autoridades como me gustaría ser estudiante nuevamente lindas instalaciones han agregado ejercitadores y un área nueva,lindo restauración hacer buen tiempo moderno instalación aunque identificado sector perder ojalá mantener tiempo así cuidado usuario autoridad gustar ser estudiante nuevamente lindo instalación agregado ejercitador áreo nuevo,1
Hermoso poder mostrarle a mi hija donde estudió,hermoso poder mostrarle a mi hija donde estudió,hermoso poder mostrar él hija estudiar,0
"Muy buena en cuanto a profes, compañeros, etc, pero debería tener más accesibilidad. El ascensor que funcione siempre. No tod@s podemos estar subiendo tantas escaleras.",muy buena en cuanto a profes compañeros etc pero debería tener más accesibilidad el ascensor que funcione siempre no tod s podemos estar subiendo tantas escaleras,buen cuanto prof compañero etc deber tener accesibilidad ascensor funcionar siempre tod s poder subir tanto escalera,1
La mejor educación,la mejor educación,mejor educación,0
"Está todo impecable, los compañeros muy amables. El patio una belleza.",está todo impecable los compañeros muy amables el patio una belleza,impecable compañero amable patio belleza,2
"Un orgullo nuestra facultad pública, el patio es increíble.",un orgullo nuestra facultad pública el patio es increíble,orgullo facultad público patio increíble,2
"Es un edificio de difícil acceso, ya que hay dos tramos de escaleras para empezar, la estructura y la pintura es horrible, deprimente. No es un lugar donde te sientas bien.",es un edificio de difícil acceso ya que hay dos tramos de escaleras para empezar la estructura y la pintura es horrible deprimente no es un lugar donde te sientas bien,edificio difícil acceso dos tramo escalera empezar estructura pintura horrible deprimente lugar sienta bien,1
"Amo este lugar, soy feliz en Facultad de Psicología Udelar. Sus patios hermosos donde uno encuentra paz en la naturaleza. Espacios amplios, ascensor, rampas, salones luminosos. Excelente lugar de estudios.",amo este lugar soy feliz en facultad de psicología udelar sus patios hermosos donde uno encuentra paz en la naturaleza espacios amplios ascensor rampas salones luminosos excelente lugar de estudios,amar lugar feliz facultad psicología udelar patio hermoso encontrar paz naturaleza espacio amplio ascensor rampa salón luminoso excelente lugar estudio,0
